rank,timeframe,segment,strategy_name,feature,horizon_bars,entry_quantile,entry_threshold,sample_size,verdict,return_pct,final_equity,round_trips,win_rate,profit_factor,expectancy,max_drawdown_pct,buy_hold_order_sized_return_pct,beats_no_trade,beats_order_sized_buy_hold,notes
1,5m,full,order_book_threshold_imbalance_top_20_q0p8_h6_v27,imbalance_top_20,6,0.8,0.2183178155562114,108,does_not_beat_order_sized_buy_hold,0.016737121066950548742896800,1000.167371210669505487428968,7,0.5714285714285714,3.078661842660909045692428517,0.02391017295278649820413839571,0.004998911500284296154965308638,0.055157632750270183200400400,True,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
2,5m,full,order_book_threshold_imbalance_top_5_q0p6_h6_v27,imbalance_top_5,6,0.6,0.12160606557266074,108,does_not_beat_order_sized_buy_hold,0.015076548394393249232486400,1000.150765483943932492324864,11,0.36363636363636365,1.699923380614119163519310406,0.01370595308581204475680590490,0.01232711893299708249924542980,0.055157632750270183200400400,True,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
3,5m,full,order_book_threshold_order_book_imbalance_q0p8_h6_v27,order_book_imbalance,6,0.8,0.20469712596021844,108,does_not_beat_order_sized_buy_hold,0.013591463736345797009200700,1000.135914637363457970092007,9,0.4444444444444444,2.213791201587545700477215875,0.01510162637371755223244534066,0.009657512285900978679716079471,0.055157632750270183200400400,True,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
4,5m,full,order_book_threshold_imbalance_top_10_q0p8_h6_v27,imbalance_top_10,6,0.8,0.20469712596021844,108,does_not_beat_order_sized_buy_hold,0.013591463736345797009200700,1000.135914637363457970092007,9,0.4444444444444444,2.213791201587545700477215875,0.01510162637371755223244534066,0.009657512285900978679716079471,0.055157632750270183200400400,True,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
5,5m,full,order_book_threshold_imbalance_top_20_q0p7_h6_v27,imbalance_top_20,6,0.7,0.17262900853991006,108,does_not_beat_order_sized_buy_hold,0.010744392755969705451518500,1000.107443927559697054515185,9,0.4444444444444444,1.765019423115258007875970849,0.01193821417329967272390953611,0.008711668429247649023891394573,0.055157632750270183200400400,True,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
6,5m,full,order_book_threshold_order_book_imbalance_q0p7_h6_v27,order_book_imbalance,6,0.7,0.17494180938613058,108,does_not_beat_order_sized_buy_hold,0.010744392755969705451518500,1000.107443927559697054515185,9,0.4444444444444444,1.765019423115258007875970849,0.01193821417329967272390953611,0.008711668429247649023891394573,0.055157632750270183200400400,True,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
7,5m,full,order_book_threshold_imbalance_top_10_q0p7_h6_v27,imbalance_top_10,6,0.7,0.17494180938613058,108,does_not_beat_order_sized_buy_hold,0.010744392755969705451518500,1000.107443927559697054515185,9,0.4444444444444444,1.765019423115258007875970849,0.01193821417329967272390953611,0.008711668429247649023891394573,0.055157632750270183200400400,True,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
8,5m,full,order_book_threshold_imbalance_top_5_q0p8_h6_v27,imbalance_top_5,6,0.8,0.21076048639031877,108,does_not_beat_order_sized_buy_hold,0.01011716324593416533311900,1000.101171632459341653331190,10,0.4,1.689563790815322447632229078,0.01011716324593416533311914200,0.009657512285900978679716079471,0.055157632750270183200400400,True,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
9,5m,full,order_book_threshold_imbalance_top_5_q0p7_h6_v27,imbalance_top_5,6,0.7,0.18078752145065743,108,does_not_beat_order_sized_buy_hold,0.006323764629042398862794900,1000.063237646290423988627949,10,0.4,1.342468782573160875646781362,0.00632376462904239886279502230,0.009657878588359912736891447480,0.055157632750270183200400400,True,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
10,5m,full,order_book_threshold_imbalance_top_20_q0p6_h6_v27,imbalance_top_20,6,0.6,0.13553356055798094,108,does_not_beat_order_sized_buy_hold,0.001431620646982213407109900,1000.014316206469822134071099,10,0.4,1.075393605106606663775778624,0.00143162064698221340710993170,0.01470778426553372088164243205,0.055157632750270183200400400,True,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
11,5m,validation,order_book_threshold_imbalance_top_20_q0p7_h6_v27,imbalance_top_20,6,0.7,0.17262900853991006,33,not_enough_trades,-0.0009705972388531153856447600,999.9902940276114688461435524,1,0.0,0E+26,-0.00970597238853115385644761,0.001540494744065834098406213917,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
12,5m,validation,order_book_threshold_order_book_imbalance_q0p7_h6_v27,order_book_imbalance,6,0.7,0.17494180938613058,33,not_enough_trades,-0.0009705972388531153856447600,999.9902940276114688461435524,1,0.0,0E+26,-0.00970597238853115385644761,0.001540494744065834098406213917,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
13,5m,validation,order_book_threshold_order_book_imbalance_q0p8_h6_v27,order_book_imbalance,6,0.8,0.20469712596021844,33,not_enough_trades,-0.0009705972388531153856447600,999.9902940276114688461435524,1,0.0,0E+26,-0.00970597238853115385644761,0.001540494744065834098406213917,-0.0008815118445840433501980300,False,False,Research-only fixed-horizon long. Feature at candle i triggers entry at candle i+1; threshold learned from train rows only.
